STATE,YEAR,HSS,CPE,IIM,HD,CM,EOH
VT,2016,9.399999619,6.5,8.800000191,6,5.800000191,6.699999809
WA,2016,8.600000381,5.5,8.300000191,4.099999905,5.599999905,7.699999809
WI,2016,8.699999809,5.300000191,9,5,6.199999809,7.300000191
WV,2016,7.099999905,4.699999809,7.699999809,5.300000191,7.300000191,5.400000095
WY,2016,7.800000191,4.099999905,7.599999905,4.400000095,5.400000095,4.900000095
AK,2017,8.800000191,4.300000191,7.800000191,4.199999809,3.599999905,6.199999809
AL,2017,8.600000381,5,8.5,4.599999905,5.599999905,6.699999809
AR,2017,8.300000191,5.300000191,8.800000191,5.300000191,6.599999905,6.099999905
AZ,2017,7.800000191,5,9.600000381,3.599999905,4.599999905,6.800000191
CA,2017,8.300000191,5.199999809,8.899999619,4,4.800000191,8
CO,2017,8.199999809,5.900000095,9.100000381,5.699999809,6.5,7.5
CT,2017,7.300000191,6.699999809,8.899999619,5.300000191,5.699999809,6.599999905
DC,2017,8,7.5,8.300000191,5.800000191,5.800000191,5.5
DE,2017,8.600000381,6.599999905,7.900000095,5.099999905,7,5.699999809
FL,2017,8.899999619,5,8.5,4.599999905,5.199999809,7.5
GA,2017,8.300000191,5.099999905,8.5,5.099999905,5.400000095,7.199999809
HI,2017,7.900000095,5.300000191,8.199999809,5.199999809,6,6.5
IA,2017,8.5,4.5,9.5,4.800000191,7.5,7.300000191
ID,2017,8.100000381,5.599999905,9.699999809,4.900000095,5,6.400000095
IL,2017,8.600000381,4.800000191,9,4.699999809,5.699999809,7.199999809
IN,2017,9,4.300000191,8.100000381,4.5,5.699999809,6.699999809
KS,2017,7.800000191,5.400000095,8.800000191,5.599999905,6.699999809,5.800000191
KY,2017,8.800000191,4.900000095,9.600000381,4.699999809,5.900000095,6.199999809
LA,2017,7.5,5,8.399999619,4.099999905,4.800000191,6.900000095
MA,2017,9.600000381,7.199999809,8.899999619,4.900000095,6.800000191,7.599999905
MD,2017,9.300000191,6.300000191,9.699999809,5.599999905,6.5,8
ME,2017,7.800000191,6,8.899999619,5.400000095,6.699999809,6.5
